X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
20115,NY,184,Toronto,2020-03
20116,SC,57,Outside City Limits,2020-03
20117,SC,232,Toronto,2020-03
20118,TO,9,Outside City Limits,2020-03
20119,TO,29,Toronto,2020-03
20120,SC,184,Outside City Limits,2020-04
20121,SC,662,Toronto,2020-04
20122,TO,1,Toronto,2020-04
20123,ET,239,Outside City Limits,2020-05
20124,ET,769,Toronto,2020-05
20125,NY,74,Outside City Limits,2020-05
20126,NY,356,Toronto,2020-05
20127,SC,393,Outside City Limits,2020-05
20128,SC,1455,Toronto,2020-05
20129,TO,14,Outside City Limits,2020-05
20130,TO,128,Toronto,2020-05
20131,ET,190,Outside City Limits,2020-06
20132,ET,567,Toronto,2020-06
20133,NY,32,Outside City Limits,2020-06
20134,NY,210,Toronto,2020-06
